x,y,z,size
0.6227953,-0.1046536,23.41508,0.01
0.6227953,-0.1046536,23.41508,0.01
0.5489361,-0.155806,23.41508,0.01
0.5489361,-0.155806,23.41508,0.01
0.5489361,-0.155806,23.41508,0.01
0.5863709,-0.1236753,23.41508,0.01
0.5863709,-0.1236753,23.41508,0.01
0.5863709,-0.1236753,23.41508,0.01
1.359159,1.002879,23.41508,0.01
1.359159,1.002879,23.41508,0.01
1.359159,1.002879,23.41508,0.01
1.50405,1.044612,23.41508,0.01
1.50405,1.044612,23.41508,0.01
1.50405,1.044612,23.41508,0.01
1.474991,1.100764,23.41508,0.01
1.474991,1.100764,23.41508,0.01
1.474991,1.100764,23.41508,0.01
1.467809,1.105422,23.41508,0.01
1.467809,1.105422,23.41508,0.01
1.467809,1.105422,23.41508,0.01
1.450684,1.094137,23.41508,0.01
1.461821,1.108525,23.41508,0.01
1.472898,1.210761,23.41508,0.01
1.495405,1.335394,23.41508,0.01
1.509112,1.431477,23.41508,0.01
1.520444,1.473721,23.41508,0.01
1.528054,1.510095,23.41508,0.01
1.535078,1.525731,23.41508,0.01
1.539365,1.530203,23.41508,0.01
1.518902,1.513958,23.41508,0.01
1.482777,1.50871,23.41508,0.01
1.455851,1.489533,23.41508,0.01
1.432303,1.477948,23.41508,0.01
1.420903,1.487548,23.41508,0.01
1.419207,1.483963,23.41508,0.01
1.396615,1.494678,23.41508,0.01
1.386541,1.496926,23.41508,0.01
1.371878,1.498425,23.41508,0.01
1.372075,1.500479,23.41508,0.01
1.373518,1.510853,23.41508,0.01
1.612529,1.49847,23.41508,0.01
1.949857,1.468172,23.41508,0.01
2.113175,1.439208,23.41508,0.01
2.196642,1.420894,23.41508,0.01
2.230584,1.408891,23.41508,0.01
2.247999,1.411759,23.41508,0.01
2.26234,1.409536,23.41508,0.01
2.262807,1.416493,23.41508,0.01
2.265997,1.417901,23.41508,0.01
2.220339,1.322284,23.41508,0.01
2.045816,0.7882299,23.41508,0.01
1.944915,0.6326824,23.41508,0.01
1.903586,0.5916238,23.41508,0.01
1.878745,0.5429034,23.41508,0.01
1.865333,0.5347016,23.41508,0.01
1.836652,0.5203997,23.41508,0.01
1.798182,0.4876314,23.41508,0.01
1.770554,0.4797749,23.41508,0.01
1.749196,0.4856841,23.41508,0.01
1.748768,0.4951423,23.41508,0.01
1.733034,0.5307878,23.41508,0.01
1.693191,-0.1585543,23.41508,0.01
1.258348,-2.124846,23.41508,0.01
1.124044,-3.218414,23.41508,0.01
1.148823,-1.594487,23.41508,0.01
1.23086,-0.391066,23.41508,0.01
1.379503,0.3092512,23.41508,0.01
0.3649538,-0.4695463,23.41508,0.01
-0.0007125735,-0.9586542,23.41508,0.01
-0.174257,-1.181517,23.41508,0.01
-0.2687542,-1.28645,23.41508,0.01
-0.3087776,-1.28741,23.41508,0.01
-0.318792,-1.248951,23.41508,0.01
-0.3291795,-1.26401,23.41508,0.01
-0.342365,-1.279081,23.41508,0.01
-0.3630204,-1.306893,23.41508,0.01
-0.3656183,-1.348839,23.41508,0.01
-0.3512685,-1.385014,23.41508,0.01
-0.3117611,-1.392259,23.41508,0.01
0.6695391,-0.2691576,23.41508,0.01
1.571114,1.074621,23.41508,0.01
1.696234,1.231369,23.41508,0.01
1.70711,1.350059,23.41508,0.01
1.696135,1.369001,23.41508,0.01
1.682472,1.384584,23.41508,0.01
1.640847,1.397326,23.41508,0.01
1.584367,1.443877,23.41508,0.01
1.561965,1.491498,23.41508,0.01
1.527409,1.556161,23.41508,0.01
1.397248,-0.3980164,23.41508,0.01
0.8100113,-1.751068,23.41508,0.01
1.060677,-2.602886,23.41508,0.01
1.150318,-0.4335518,23.41508,0.01
1.34,1.257354,23.41508,0.01
2.020786,2.133109,23.41508,0.01
2.021242,1.851478,23.41508,0.01
1.62633,1.79595,23.41508,0.01
1.279361,1.631871,23.41508,0.01
1.113461,1.593933,23.41508,0.01
