x,y,z,size
-3.44061,1.846853,56.44595,0.01
-3.281081,1.744106,56.44595,0.01
-2.297003,1.834085,56.44595,0.01
-0.8194355,2.432808,56.44595,0.01
0.05430683,3.10869,56.44595,0.01
0.4634235,3.250953,56.44595,0.01
0.8859944,3.11435,56.44595,0.01
1.234468,2.721214,56.44595,0.01
1.411979,2.296646,56.44595,0.01
1.292429,2.233357,56.44595,0.01
0.8743091,2.6221,56.44595,0.01
0.5630077,2.88735,56.44595,0.01
0.2436383,3.038306,56.44595,0.01
0.1158381,3.093758,56.44595,0.01
0.7881569,2.430311,56.44595,0.01
1.546872,1.812493,56.44595,0.01
1.964968,1.444934,56.44595,0.01
2.174542,1.374693,56.44595,0.01
2.323365,1.263454,56.44595,0.01
2.416197,1.113312,56.44595,0.01
2.366746,1.051648,56.44595,0.01
2.207472,1.067115,56.44595,0.01
2.048632,1.116584,56.44595,0.01
1.89747,1.106973,56.44595,0.01
1.818338,1.086423,56.44595,0.01
1.806604,1.010885,56.44595,0.01
1.854978,0.9325134,56.44595,0.01
1.885724,0.9053587,56.44595,0.01
1.895848,0.8153247,56.44595,0.01
1.91393,0.6059926,56.44595,0.01
1.971588,0.5537991,56.44595,0.01
1.999954,0.5112151,56.44595,0.01
2.071028,0.5291058,56.44595,0.01
2.175977,0.51059,56.44595,0.01
2.233284,0.5284678,56.44595,0.01
2.229083,0.608153,56.44595,0.01
2.218795,0.6701211,56.44595,0.01
2.189602,0.7232184,56.44595,0.01
2.137027,0.7745857,56.44595,0.01
2.133029,0.8035111,56.44595,0.01
2.137612,0.8188565,56.44595,0.01
2.21002,-0.105399,56.44595,0.01
2.238894,-3.14981,56.44595,0.01
2.290393,0.4492523,56.44595,0.01
5.01408,1.943162,56.44595,0.01
5.979092,2.879719,56.44595,0.01
3.901025,1.636292,56.44595,0.01
2.797266,1.207716,56.44595,0.01
2.693712,0.8752692,56.44595,0.01
2.731822,0.7416071,56.44595,0.01
2.774406,0.6806501,56.44595,0.01
2.843033,0.6853712,56.44595,0.01
2.839411,0.7185939,56.44595,0.01
2.839165,0.7497224,56.44595,0.01
2.775773,0.7768513,56.44595,0.01
2.726351,0.8099722,56.44595,0.01
2.673041,0.8621214,56.44595,0.01
2.624189,0.8898571,56.44595,0.01
2.672869,0.8887347,56.44595,0.01
2.683639,0.8944393,56.44595,0.01
2.737222,0.8775055,56.44595,0.01
2.79735,0.8535233,56.44595,0.01
2.855137,0.8576206,56.44595,0.01
2.822103,0.8492534,56.44595,0.01
2.765934,0.8718762,56.44595,0.01
2.681746,0.8758379,56.44595,0.01
2.627362,0.8958544,56.44595,0.01
2.557763,0.84576,56.44595,0.01
2.547008,0.8485206,56.44595,0.01
2.536689,0.8464382,56.44595,0.01
2.540327,0.8763402,56.44595,0.01
2.590786,0.9165792,56.44595,0.01
2.635148,0.9560531,56.44595,0.01
2.714054,0.9890673,56.44595,0.01
2.462322,1.355056,56.44595,0.01
2.052773,2.291049,56.44595,0.01
1.76173,2.832029,56.44595,0.01
1.659721,3.00102,56.44595,0.01
1.609522,3.067643,56.44595,0.01
1.621573,3.132105,56.44595,0.01
1.650489,3.163664,56.44595,0.01
1.659513,3.187596,56.44595,0.01
1.639669,3.21914,56.44595,0.01
1.68495,3.570978,56.44595,0.01
1.736,3.827465,56.44595,0.01
1.721833,3.905747,56.44595,0.01
1.714987,3.990115,56.44595,0.01
1.711158,4.024976,56.44595,0.01
1.708428,4.115854,56.44595,0.01
1.700378,4.130294,56.44595,0.01
1.696032,4.16222,56.44595,0.01
1.672283,4.164679,56.44595,0.01
1.65682,4.19158,56.44595,0.01
1.653322,4.192358,56.44595,0.01
1.676229,4.193586,56.44595,0.01
1.713421,4.156712,56.44595,0.01
1.720937,4.149339,56.44595,0.01
1.717819,4.14181,56.44595,0.01
1.663823,4.152198,56.44595,0.01
1.607157,4.142928,56.44595,0.01
1.592677,4.137574,56.44595,0.01
1.629501,4.102095,56.44595,0.01
1.664912,4.076231,56.44595,0.01
1.668186,4.049816,56.44595,0.01
1.685075,4.048845,56.44595,0.01
1.737391,4.048329,56.44595,0.01
1.735008,4.248146,56.44595,0.01
1.715933,4.323158,56.44595,0.01
1.709626,4.385522,56.44595,0.01
1.721492,4.438844,56.44595,0.01
1.738856,4.489744,56.44595,0.01
1.729011,4.526269,56.44595,0.01
1.744288,4.550275,56.44595,0.01
1.769148,4.548466,56.44595,0.01
1.760652,4.543861,56.44595,0.01
1.731592,4.557121,56.44595,0.01
1.731131,4.557847,56.44595,0.01
1.740392,4.563726,56.44595,0.01
1.781423,4.563163,56.44595,0.01
1.787999,4.504904,56.44595,0.01
1.739429,4.589475,56.44595,0.01
1.672682,4.540984,56.44595,0.01
1.627643,4.562727,56.44595,0.01
1.571605,4.581305,56.44595,0.01
1.54377,4.586001,56.44595,0.01
1.515407,4.617801,56.44595,0.01
1.474963,4.67557,56.44595,0.01
1.475138,4.752607,56.44595,0.01
1.532802,4.753618,56.44595,0.01
1.504093,4.581307,56.44595,0.01
1.512453,4.285462,56.44595,0.01
1.530479,4.047759,56.44595,0.01
1.516528,3.903979,56.44595,0.01
1.461295,3.768123,56.44595,0.01
1.430476,3.687851,56.44595,0.01
1.404236,3.651507,56.44595,0.01
1.339873,3.666063,56.44595,0.01
1.327883,3.683361,56.44595,0.01
1.313995,3.718742,56.44595,0.01
1.319029,3.749092,56.44595,0.01
1.351192,3.775014,56.44595,0.01
1.388085,3.801068,56.44595,0.01
1.403762,3.816473,56.44595,0.01
1.434543,3.806067,56.44595,0.01
1.464755,3.78456,56.44595,0.01
1.483714,3.743016,56.44595,0.01
1.463944,3.72613,56.44595,0.01
1.427694,3.731974,56.44595,0.01
1.384645,3.720095,56.44595,0.01
1.362852,3.716674,56.44595,0.01
0.7741897,3.344702,56.44595,0.01
-0.3692252,1.92871,56.44595,0.01
-1.225395,1.097944,56.44595,0.01
-1.380134,0.9072329,56.44595,0.01
-1.440703,0.8341981,56.44595,0.01
-1.522188,0.7355488,56.44595,0.01
-1.578428,0.6968409,56.44595,0.01
-1.62374,0.7104528,56.44595,0.01
-1.615451,0.6873255,56.44595,0.01
-1.634143,0.7060242,56.44595,0.01
-2.436658,0.9316459,56.44595,0.01
-3.125611,1.220902,56.44595,0.01
-3.300065,1.340012,56.44595,0.01
-3.390387,1.389107,56.44595,0.01
-3.444483,1.428589,56.44595,0.01
-3.525558,1.474769,56.44595,0.01
-3.564915,1.499148,56.44595,0.01
-3.599352,1.5395,56.44595,0.01
-3.55464,1.550539,56.44595,0.01
-3.53127,1.539701,56.44595,0.01
-3.505694,1.547541,56.44595,0.01
-3.521967,1.556561,56.44595,0.01
-3.768911,1.609329,56.44595,0.01
-5.087355,2.04123,56.44595,0.01
-5.963156,2.410866,56.44595,0.01
-6.174533,2.557983,56.44595,0.01
-6.2988,2.661321,56.44595,0.01
-6.333118,2.698226,56.44595,0.01
-6.346752,2.745545,56.44595,0.01
-6.376468,2.782722,56.44595,0.01
-6.380906,2.81168,56.44595,0.01
-6.400186,2.822653,56.44595,0.01
-6.823086,3.23989,56.44595,0.01
-7.361256,3.931171,56.44595,0.01
-7.707199,4.272457,56.44595,0.01
-7.831116,4.384447,56.44595,0.01
-7.962906,4.524022,56.44595,0.01
-7.999318,4.608525,56.44595,0.01
-8.004206,4.66837,56.44595,0.01
-8.01274,4.673316,56.44595,0.01
-6.888866,4.445197,56.44595,0.01
-0.6171149,0.4404727,56.44595,0.01
0.2698013,-0.7693133,56.44595,0.01
0.475711,-1.16269,56.44595,0.01
0.5801027,-1.344246,56.44595,0.01
0.5993012,-1.375751,56.44595,0.01
0.6054615,-1.415408,56.44595,0.01
0.5995813,-1.422096,56.44595,0.01
0.5978657,-1.410219,56.44595,0.01
0.6124841,-1.392187,56.44595,0.01
0.6383111,-1.395766,56.44595,0.01
0.6861147,-1.398969,56.44595,0.01
0.8009403,-1.385599,56.44595,0.01
0.9280614,-1.24361,56.44595,0.01
1.031368,-1.101876,56.44595,0.01
1.078617,-1.022432,56.44595,0.01
1.121206,-0.9400373,56.44595,0.01
2.023146,-0.8039545,56.44595,0.01
2.428904,-0.7591617,56.44595,0.01
2.561434,-0.7480128,56.44595,0.01
2.681383,-0.7906566,56.44595,0.01
2.664089,-0.8628774,56.44595,0.01
2.64698,-0.8897986,56.44595,0.01
2.682567,-0.944343,56.44595,0.01
2.699641,-0.9195449,56.44595,0.01
2.671733,-0.88785,56.44595,0.01
2.688552,-0.8625052,56.44595,0.01
2.691967,-0.8831848,56.44595,0.01
2.709105,-0.9219533,56.44595,0.01
2.809441,-1.020219,56.44595,0.01
3.195507,-0.4584585,56.44595,0.01
3.458861,0.7815273,56.44595,0.01
3.5409,1.970466,56.44595,0.01
3.262352,1.292539,56.44595,0.01
3.085084,-0.1630583,56.44595,0.01
3.013508,0.5530674,56.44595,0.01
3.117675,2.312982,56.44595,0.01
3.155604,3.945139,56.44595,0.01
3.248939,5.310858,56.44595,0.01
7.086054,5.96247,56.44595,0.01
6.694835,5.877395,56.44595,0.01
4.325079,5.834565,56.44595,0.01
3.798329,4.675826,56.44595,0.01
3.36965,3.908025,56.44595,0.01
3.110603,3.74365,56.44595,0.01
2.761781,3.238895,56.44595,0.01
2.846243,2.46056,56.44595,0.01
3.005959,2.03939,56.44595,0.01
3.120681,1.832181,56.44595,0.01
3.493879,1.973239,56.44595,0.01
3.424945,1.991749,56.44595,0.01
3.404343,1.983871,56.44595,0.01
3.545703,1.887707,56.44595,0.01
3.392356,1.711213,56.44595,0.01
3.37457,1.610683,56.44595,0.01
3.503577,1.454533,56.44595,0.01
3.467501,1.369279,56.44595,0.01
3.461195,1.417355,56.44595,0.01
3.432625,1.477455,56.44595,0.01
3.272707,1.533586,56.44595,0.01
3.145502,1.594372,56.44595,0.01
2.952492,1.61341,56.44595,0.01
2.807007,1.576157,56.44595,0.01
0.9855598,1.237257,56.44595,0.01
-1.290858,0.3674899,56.44595,0.01
-1.969247,-0.2036148,56.44595,0.01
-2.24506,-0.6898404,56.44595,0.01
-2.252447,-1.105089,56.44595,0.01
-2.117543,-1.320729,56.44595,0.01
-1.933043,-1.331615,56.44595,0.01
-1.715724,-0.9953974,56.44595,0.01
-1.650837,-0.7720319,56.44595,0.01
-1.484635,-0.2998497,56.44595,0.01
-1.439192,0.08495516,56.44595,0.01
-1.266762,0.2781045,56.44595,0.01
-1.006093,0.3472642,56.44595,0.01
-0.7983824,0.3170722,56.44595,0.01
-0.5996732,0.2400877,56.44595,0.01
-0.4467899,0.1508935,56.44595,0.01
-0.1731281,0.07194859,56.44595,0.01
0.2204326,-0.003497958,56.44595,0.01
0.4640631,-0.2638958,56.44595,0.01
0.3779189,-0.5787189,56.44595,0.01
-0.08042465,-0.9130539,56.44595,0.01
-0.5642775,-1.132767,56.44595,0.01
-1.150262,-1.186185,56.44595,0.01
-1.788166,-0.9362629,56.44595,0.01
-2.409773,-0.7161754,56.44595,0.01
-2.750753,-0.4965276,56.44595,0.01
-2.577984,-0.3480473,56.44595,0.01
-2.466432,-0.2593485,56.44595,0.01
-2.344827,-0.2402766,56.44595,0.01
-2.276878,-0.2658808,56.44595,0.01
-2.577695,-0.2481782,56.44595,0.01
-3.34824,-0.05284178,56.44595,0.01
-3.858306,0.1218017,56.44595,0.01
-4.282816,0.2140508,56.44595,0.01
-4.610371,0.2196248,56.44595,0.01
-4.823023,0.1044615,56.44595,0.01
-4.939408,-0.03247827,56.44595,0.01
-4.99943,-0.2095608,56.44595,0.01
-5.428009,-0.1288324,56.44595,0.01
-5.967382,0.2375984,56.44595,0.01
-6.364298,0.5829754,56.44595,0.01
-6.523811,0.7559328,56.44595,0.01
-6.55348,0.8107427,56.44595,0.01
-6.497314,0.7762673,56.44595,0.01
-6.260827,0.7067859,56.44595,0.01
-6.271268,0.663093,56.44595,0.01
-6.188668,0.7035927,56.44595,0.01
-6.047306,0.7938005,56.44595,0.01
-2.555167,1.432453,56.44595,0.01
-0.007400647,2.480621,56.44595,0.01
0.8173637,3.113404,56.44595,0.01
1.011158,3.183777,56.44595,0.01
1.28707,3.092197,56.44595,0.01
1.750062,3.009133,56.44595,0.01
2.326433,2.937126,56.44595,0.01
2.924724,2.807645,56.44595,0.01
3.265147,2.039904,56.44595,0.01
3.112535,-1.159684,56.44595,0.01
3.452705,-0.3309301,56.44595,0.01
3.705575,1.737931,56.44595,0.01
4.333614,3.241102,56.44595,0.01
5.463496,3.70475,56.44595,0.01
6.058973,4.014135,56.44595,0.01
6.561748,4.459565,56.44595,0.01
6.866656,4.984882,56.44595,0.01
6.929322,5.256854,56.44595,0.01
6.855119,5.168937,56.44595,0.01
6.766135,5.005904,56.44595,0.01
6.577323,4.942565,56.44595,0.01
6.566724,4.825426,56.44595,0.01
6.647795,4.705978,56.44595,0.01
6.820895,4.515548,56.44595,0.01
7.095801,4.416041,56.44595,0.01
7.528463,4.292173,56.44595,0.01
7.539686,4.263231,56.44595,0.01
7.541042,4.349554,56.44595,0.01
7.419498,4.488583,56.44595,0.01
7.443472,4.617293,56.44595,0.01
7.528337,4.729858,56.44595,0.01
7.595962,4.905281,56.44595,0.01
7.527436,5.076453,56.44595,0.01
7.434989,5.269956,56.44595,0.01
7.39662,5.30827,56.44595,0.01
7.906565,5.279388,56.44595,0.01
8.846728,5.12024,56.44595,0.01
9.307042,5.015208,56.44595,0.01
9.580889,4.926906,56.44595,0.01
9.74362,4.800412,56.44595,0.01
10.03511,4.673516,56.44595,0.01
10.16654,4.614319,56.44595,0.01
10.20938,4.787784,56.44595,0.01
10.07255,4.713598,56.44595,0.01
9.801687,3.778275,56.44595,0.01
9.419448,3.036698,56.44595,0.01
9.236685,2.834227,56.44595,0.01
9.225613,2.729544,56.44595,0.01
9.226464,2.634091,56.44595,0.01
9.289364,2.596985,56.44595,0.01
9.311549,2.539068,56.44595,0.01
